,label,text
0,Neutral,Salesperson at #soho @Apple store it doesn't matter how many people are lined up out front. They're not gonna get one #iphone4s
1,Pos,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
2,Neutral,@AsimRang @apple @umber when you upgrade to ios5 there is a section in app store which lets you download anything you have purchased before
3,Pos,@Apple: Siri is amazing!!! I'm in love!
4,Pos,God Bless @YouTube @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)
5,Neutral,Fregon el nuevo facebook para iPod/iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple
6,Neg,Life was much easier when @apple and @BlackBerry were just fruits!
7,Neutral,Too many iPhones.  @apple @dcoult #FirstWorldProblems http://t.co/Ck4yfFSY
8,Neg,shit shit shit. IOS5 update ate all my apps data and media just like @apple said it would. This is going to take some time to rebuild.
9,Neutral,In case you were curious like me.... IPhone 4S: Which Apple #iPhone is Best for Price Features? http://t.co/d1LonCzc @Apple #HealthIT #EHR
10,Pos,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
11,Neutral,I don't get it. Instead of @apple dropping the 16GB iPhone 4 down to $99 they release an 8GB one for $99???
12,Neg,All I can say about @Apple right now is #GoodRiddance  See? Cancer isn't ALL BAD!
13,Neg,if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?
14,Neg,@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint Sprint blames @apple I just want an honest answer.  #help
15,Neutral,hmm it seems i should have checked the identity of @apple first
16,Neutral,I want Siri on my iPhone4 ! @apple
17,Neutral,@apple karaoke ceel w/ @nandamaulida @putriasmara @galuhoktriana @milatus :p
18,Neg,@apple thanks for ios5 - loving having my music breaking up like I'm talking on a mobile (cell) phone. Bring back functional 4 #iosdonwgrade
19,Neutral,Dear @Apple iMessage client for desktop please :)
20,Neg,#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(@apple sux without steve
21,Neutral,The new @apple #find my friends app is great.... except the part where you have to log in everytime. Get back to me when this is changed...
22,Neutral,It's a good thing @apple has not came out with an iCar because I would be in line for one and im sure it would be expensive
