,label,text
0,Pos,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.
1,Neutral,If you've been struggling to get hold of me I'm back online with a new iPhone - thanks @apple
2,Neutral,Our trip to SF and Silicon Valley is about to end. Visit @Apple HQ is one of the final stops. http://t.co/ikoOqdoc
3,Neg,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market
4,Neg,#appleupdates2 success stories- iPhone & iPad 2.Now been on phone to Apple 45 mins. iPad 1 WILL not. Wasting my time @apple#Replaceit!
5,Neg,After a week or so with @Apple's #iOS5 I'm considering going back to #jailbroken 4.2 - same features as 5 plus more. Not as stable though.
6,Neg,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
7,Neutral,@Samsung wants to ban @Apple iPhone 4S in Japan and Australia. http://t.co/hWA4tWIc #smartphonewar
8,Neg,Dear @AppleCongratulations I am suing my insurance company and you just managed to make it to the top of my shit list. #Ineedthosepictures
9,Neg,Only thing #iOS.5 has done is deleted my tiger woods game and made impossible to retrieve. Thanks @Apple!
10,Pos,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
11,Neutral,#SteveJobs memorial at the Leawood @Apple store. http://t.co/UVgb05G6
12,Neutral,Dear @motorola I smell a lawsuit coming your way. cc: @apple #motoactv
13,Neutral,@apple http://t.co/LKm2JzIN
14,Neutral,@rtimbuc thx for publicly coming out out of the @Apple closet ... :)
15,Neutral,@apple http://t.co/2YcsCG68 via @donorschoose
16,Neg,@tomcolontonio @apple #EPICFAIL
17,Neutral,#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits
18,Neutral,Been MIA from Twitter.. But now Tweeting from my new @apple iPhone! :) #finallycool #notreally well It IS ..I'm not :) #stilllearning
19,Neg,Dear @Apple: You must let me turn off iCloud to save bandwidth and NOT delete EVERY document on my iPad. That's BULLSHIT!
20,Neg,The new iOS5 completely failed at upgrading the phone. Now I'm stuck in this restore loop. Thanks @apple for wasting my day. Can i undo?
21,Neg,Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!
22,Neg,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
23,Neutral,Steve Jobs' unconventional #leadership secret - ACC SmartBrief: http://t.co/CY6VxRnF &gt; @Apple #sm #HR #NEHRA
24,Neutral,@apple iphone 4s arrival on Tuesday!! #iPhone4S
25,Neutral,Dear @apple yesterday you sucked. Today you're awesome! Thanks LP Apple store crash and burn mich ave store.
26,Pos,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
27,Neutral,This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant.
28,Neg,i officially HATE @apple... fix your damn itunes.
29,Neutral,Saw that @apple is covered with msgs 4 steve jobs. Nice to kno ppl r still saying #thankyousteve
30,Neg,Sorry @apple but #iMessage will never be what #BBM is. Disappointed.
31,Neg,anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment
32,Neutral,@Reddclay81 now that were done prasing @Apple 's #iOS5Everyone go subscribe to notsosuperpro! #shamlessselfpromotion
33,Neutral,@paulbentleymelb @apple I think they call that profit-making 'genius'
34,Pos,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
35,Neutral,Video: SIRI also gets angry. http://t.co/ksX2XZoR  @chrisvoss @apple #apple #siri #iphone4S #Ai
36,Neutral,This!!!!!! RT @DennieB_15 ..... Um why No black people@Apple
37,Neutral,Anyone know why we can only read iBooks on the iPhone and iPad? Any ideas how to read them on mac? @apple
38,Neg,RT @gdcurry: Really @Apple?  What have you done to my iTunes now?  I can't click on Music Movies TV Shows or any playlists. I get a l ...
39,Neutral,@Bestbuy or @Apple to purchase my imac iPad and printer? #StudentDiscounts?
40,Neutral,Siri is cool but more importantly handy and FUNNY. @Apple please configure it for Canada. What's with the racism EH?
41,Neutral,@Apple needs to give me a contract deal i get them new customers all the time #teamiphone
42,Neutral,Couldnt help it & explored the #iphone4s @apple store & talked to #Siri... Should've tried to speak to her in French?! #nexttime
43,Neg,*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5
44,Neutral,Lol bet that Android couldnt do that  RT @ceejay3k: I promise this iPhone been at 1% battery for the last 3 hours. I see you @apple.
45,Neutral,@apple underplayed the power of the iPad via @mitchjoel &lt;yup #SOCAPac11
46,Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/gZmdzvLe  @apple #apple #iphome4S #ios5
47,Neutral,Noticed how @apple has added the like & tweet icons on their page? http://t.co/PZoNZeC8 #like #facebook #tweet
48,Neg,Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!
